gene_symbol,ensembl_id,editor_system,sample,cell_line,condition,edited,raw_count,genome_build,source_file
SNRPN,ENSG00000128739,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,579,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,562,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,0,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,PWS_VP64_nt_r2,PWS,non_targeting,False,4,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,PWS_VP64_nt_r3,PWS,non_targeting,False,3,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,20450,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,23660,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,18647,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,5449,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,PWS_VP64_mat1_r2,PWS,maternal_reactivation_guide,True,5192,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,PWS_VP64_mat1_r3,PWS,maternal_reactivation_guide,True,5822,hg19,GSE243185_VP64_featurecounts.csv.gz
SNHG14,ENSG00000224078,dCas9-VP64,PWS_VP64_nt_r1,PWS,non_targeting,False,35,hg19,GSE243185_VP64_featurecounts.csv.gz
